candidate_id,rank,score,reasoning
CAND_0061257,1,0.9931,"Top pick: Staff Machine Learning Engineer (8.0 YOE) with hands-on Information Retrieval Systems, Search Infrastructure, Search Backend. Based in Noida, Uttar Pradesh — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon). Strong availability (response 87%, 30d notice). Career text shows shipped/production ML work."
CAND_0002025,2,0.984,"Top pick: Senior AI Engineer (5.9 YOE) with hands-on FAISS, OpenSearch. India-based (Trivandrum, Kerala); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon. Strong availability (response 80%, 30d notice). Career text shows shipped/production ML work. Mentions a/b test in career history. Similar summary template to peers — ranked up on availability + product signals."
CAND_0005538,3,0.975,"Top pick: Senior AI Engineer (5.9 YOE) with hands-on Information Retrieval Systems. India-based (Kolkata, West Bengal); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon. Moderate availability (response 81%, notice 90d). Career text shows shipped/production ML work. Mentions a/b test in career history."
CAND_0018499,4,0.966,"Top pick: Senior Machine Learning Engineer (7.2 YOE) with hands-on Information Retrieval, Embeddings. Based in Noida, Uttar Pradesh — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon). Strong availability (response 61%, 15d notice). Career text shows shipped/production ML work. Mentions NDCG in career history. Similar summary template to peers — ranked up on availability + product signals."
CAND_0006567,5,0.957,"Top pick: Senior AI Engineer (7.9 YOE) with hands-on Search Backend, Ranking Systems, Search & Discovery. Based in Noida, Uttar Pradesh — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon). Moderate availability (response 79%, notice 60d). Career text shows shipped/production ML work. Mentions a/b test in career history."
CAND_0077337,6,0.9479,"Top pick: Staff Machine Learning Engineer (7.0 YOE) with hands-on Semantic Search, Information Retrieval, OpenSearch. India-based (Kochi, Kerala); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon. Moderate availability (response 95%, notice 60d). Career text shows shipped/production ML work. Mentions NDCG in career history. Similar summary template to peers — ranked up on availability + product signals."
CAND_0046064,7,0.9387,"Top pick: Senior NLP Engineer (8.9 YOE) with hands-on OpenSearch, Elasticsearch, Semantic Search. India-based (Coimbatore, Tamil Nadu); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon. Strong availability (response 78%, 30d notice). Career text shows shipped/production ML work. Mentions NDCG in career history. Similar summary template to peers — ranked up on availability + product signals."
CAND_0093193,8,0.9298,"Top pick: Senior Machine Learning Engineer (7.9 YOE) with hands-on Ranking Systems, OpenSearch, Information Retrieval Systems, Search & Discovery. Based in Bangalore, Karnataka — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon). Moderate availability (response 61%, notice 45d). Career text shows shipped/production ML work."
CAND_0071974,9,0.9209,"Top pick: Senior AI Engineer (7.8 YOE) with hands-on Information Retrieval, Embeddings, Elasticsearch. India-based (Vizag, Andhra Pradesh); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon. Moderate availability (response 76%, notice 45d). Career text shows shipped/production ML work. Mentions a/b test in career history. Similar summary template to peers — ranked up on availability + product signals."
CAND_0046525,10,0.9124,"Top pick: Senior Machine Learning Engineer (6.1 YOE) with hands-on Elasticsearch, Information Retrieval. Based in Pune, Maharashtra — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon). Moderate availability (response 88%, notice 60d). Career text shows shipped/production ML work. Mentions NDCG in career history. Similar summary template to peers — ranked up on availability + product signals."
